city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
ostashkov,ru,57,57,20,87,80,8
garissa,ke,0,0,80,42,0,9
magadan,ru,59,59,-22,74,20,4
angermunde,de,53,53,41,86,90,16
kidal,ml,18,18,61,47,0,8
serabu,sl,7,7,78,80,0,6
dakar,sn,14,14,80,91,0,13
tieli,cn,46,46,-28,44,8,5
totness,sr,5,5,82,94,20,15
lively,ca,46,46,15,85,90,3
magomeni,tz,-6,-6,78,94,40,4
porosozero,ru,62,62,14,88,88,4
severnyy-kospashskiy,ru,59,59,25,88,76,9
asadabad,af,34,34,28,68,20,9
yauya,pe,-8,-8,50,97,92,2
corner brook,ca,48,48,32,100,75,6
hazleton,us,40,40,37,51,90,12
ciudad valles,mx,21,21,58,75,80,7
tambo,pe,-14,-14,59,23,8,4
changping,cn,40,40,24,45,0,6
karasuk,ru,53,53,8,88,32,4
miguel hidalgo,mx,19,19,72,30,40,17
assare,br,-6,-6,90,31,12,5
chandil,in,22,22,55,83,8,2
barra,br,-11,-11,92,34,80,3
bazarnyye mataki,ru,54,54,22,93,92,3
singkawang,id,0,0,77,93,64,1
florence,us,34,34,44,45,1,6
lokoja,ng,7,7,74,66,8,2
ayutla,mx,20,20,77,27,0,7
kedougou,sn,12,12,72,32,0,7
birr,ie,53,53,38,70,0,19
blind river,ca,46,46,24,79,90,9
guymon,us,36,36,38,32,1,16
zonguldak,tr,41,41,42,93,56,7
zima,ru,53,53,24,76,92,7
melito di porto salvo,it,37,37,55,58,20,5
whyalla,au,-33,-33,59,77,40,13
mufumbwe,zm,-13,-13,72,77,36,10
sandakan,my,5,5,77,94,75,2
jacareacanga,br,-6,-6,80,88,75,3
tongling,cn,30,30,34,100,20,9
kaunas,lt,54,54,39,80,90,8
ostrogozhsk,ru,50,50,20,92,0,9
guantanamo,cu,20,20,84,83,40,9
ustyuzhna,ru,58,58,18,82,68,2
drexel heights,us,32,32,58,8,1,5
mildmay,ca,44,44,28,76,88,18
khatima,in,28,28,53,90,0,2
jambi,id,-1,-1,73,98,80,4
de aar,za,-30,-30,62,72,76,2
malkara,tr,40,40,34,88,0,6
albury,au,-36,-36,61,82,90,8
semey,kz,50,50,-2,74,0,3
praya,id,-8,-8,77,88,20,3
jijiga,et,9,9,39,85,0,1
sapa,ph,5,5,83,100,64,10
louga,sn,15,15,71,64,0,4
banff,ca,51,51,20,71,0,0
spas-klepiki,ru,55,55,22,96,80,10
shobara,jp,34,34,40,75,75,3
jinzhou,cn,41,41,-3,77,0,2
sorrento,it,40,40,47,71,75,1
ravne,si,45,45,35,86,44,6
zubtsov,ru,56,56,19,82,80,3
chhabra,in,24,24,64,78,68,3
umtata,za,-31,-31,60,87,0,6
el dorado,us,33,33,43,56,90,9
turochak,ru,52,52,-7,60,0,2
las choapas,mx,17,17,77,78,75,23
leua,ao,-11,-11,65,98,76,2
ovre ardal,no,61,61,32,84,75,5
barranca,pe,-10,-10,64,94,44,9
bamora,in,24,24,60,74,0,7
morwa,in,22,22,65,87,92,8
adrian,us,41,41,26,73,90,18
mana,gf,5,5,79,78,92,4
camacari,br,-12,-12,78,78,40,11
guerrero negro,mx,27,27,73,43,0,19
abramovka,ru,51,51,24,91,80,14
providencia,mx,28,28,78,15,5,11
filadelfia,py,-22,-22,89,62,44,6
xicotencatl,mx,23,23,58,64,88,10
new ulm,us,44,44,20,67,1,6
potsdam,us,52,52,41,86,90,16
utica,us,43,43,33,64,90,8
pocinhos,br,-7,-7,82,47,8,10
kampong chhnang,kh,12,12,73,85,8,3
general roca,ar,-39,-39,91,26,0,8
suez,eg,29,29,44,86,0,3
terra roxa,br,-23,-23,69,100,92,6
umea,se,63,63,33,100,90,19
kosa,ru,59,59,23,88,76,7
pedasi,pa,7,7,77,100,76,11
jaru,br,-10,-10,90,60,24,2
susurluk,tr,39,39,32,100,0,3
redcliffe,zw,-27,-27,77,74,0,6
kabo,cf,7,7,81,36,36,7
normandin,ca,48,48,24,62,75,9
davila,ph,18,18,78,83,75,11
pouebo,nc,-20,-20,78,98,0,5
valladolid,es,41,41,32,74,68,8
point pleasant,us,40,40,41,44,1,5
irece,br,-11,-11,83,51,88,4
haridwar,in,29,29,49,87,0,2
mbengwi,cm,6,6,68,44,88,3
shahr-e babak,ir,30,30,32,65,0,8
timbiqui,co,2,2,76,100,92,4
plainview,us,40,40,41,38,1,10
fasa,ir,28,28,50,66,40,2
ouango,cf,4,4,82,56,8,4
plyussa,ru,58,58,25,88,92,8
zhaodong,cn,46,46,-4,76,20,6
birao,cf,10,10,74,39,0,10
linao,ph,7,7,71,94,80,1
ust-ordynskiy,ru,52,52,12,85,0,2
mendi,et,-6,-6,50,93,64,0
bougouni,ml,11,11,73,36,0,7
pandan niog,ph,6,6,84,100,76,8
pawai,in,24,24,55,84,8,3
maridi,sd,4,4,67,72,0,5
